"Source:","C:\Users\scoot\Google Drive\KICAD\ESP32_Controller_Eth_SD_POE\ESP32_Controller.sch"
"Date:","6/5/2019 9:22:37 PM"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key_PN","Field4","Field5","Field6","Field7","Field8","MPN"
"","","C1","100uF","Device:CP","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","493-1107-ND","","","","","","UVR1H101MPD"
"","","C2","10uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","P5148-ND","","","","","","ECA-1EM100"
"","","C3","0.1uF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","478-7336-1-ND","","","","","","SR215C104KARTR1"
"","","C4","0.1uF","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~","478-7336-1-ND","","","","","","SR215C104KARTR1"
"","","D1","RED LED","Device:LED","LED_THT:LED_D3.0mm","~","67-2206-ND","","","","","","SSL-LX3054SRD"
"","","F1","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F2","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F3","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F4","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F5","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F6","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F7","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F8","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","F9","3544-2","ESP32_Controller-rescue:3544-2-Keystone_Fuse","Keystone_Fuse:FUSE_3544-2","None","36-3544-2-ND","3544-2","None","Unavailable","Fuse Clip; 500 VAC; 30 A; PCB; For 0.110 in. x 0.032 in. mini blade fuses","Keystone Electronics","3544-2"
"","","J1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J5","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J6","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
"","","J7","Conn_01x03","Connector_Generic:Conn_01x03","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical","~","277-5737-ND/ED10555-ND","","","","","","1843619/OSTTJ0311530"
