Comment,Designator,Footprint,LCSC
0.1uF,"C4,C5,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
10uF,"C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
33ohm,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23140
10K,"R2,R3,R4,R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
ACS706xLC-05C,U5,SOIC-8_3.9x4.9mm_P1.27mm,C465515
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
AMS1117-5.0,U2,SOT-223-3_TabPin2,C6187
74AHCT1G125,U4,TSOP-5_1.65x3.05mm_P0.95mm,C7484
ESP-12E,U3,ESP-12E,C89297
100uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
SW_Push,SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,
