Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,131.9,-81.275,-90.0,top
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.4,-79.2,270.0,bottom
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.5,-79.0,270.0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,135.25,-62.9125,90.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.9,-64.1,0.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.2,-74.4,90.0,bottom
J1,PMG,PinHeader_1x06_P2.54mm_Vertical,145.55,-83.2,-90.0,top
J3,OLED,OLED-SSD1306-128X64-I2C-THT_2HOLE,131.1,-71.5,90.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.25,-66.3,-90.0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.25,-69.7,-90.0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.3,-82.3,90.0,top
R5,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.3,-78.8,90.0,top
R6,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.25,-73.1,-90.0,top
R7,33ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121.15,-65.0,90.0,top
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,124.1,-71.8,-90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,125.9,-80.5,180.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,125.9,-80.5,180.0,bottom
U3,ESP-12E,ESP-12E,149.2,-71.5125,-90.0,top
U4,74AHCT1G125,TSOP-5_1.65x3.05mm_P0.95mm,123.0,-61.5,-90.0,top
U5,ACS706xLC-05C,SOIC-8_3.9x4.9mm_P1.27mm,122.3,-73.3,180.0,bottom
