Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,131.5,-80.5,270.0,bottom
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.4,-79.2,270.0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,142.3,-65.2,180.0,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.8,-61.8,90.0,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.2,-74.4,90.0,bottom
J3,OLED,OLED-SSD1306-128X64-I2C-THT_2HOLE,131.1,-71.5,90.0,top
R7,33ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,123.1,-65.0,180.0,bottom
SW1,SW_Push,SW_Push_1P1T_NO_6x6mm_H9.5mm,124.1,-71.8,90.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,125.9,-80.5,180.0,bottom
U4,74AHCT1G125,TSOP-5_1.65x3.05mm_P0.95mm,123.4,-61.5,270.0,bottom
U5,ACS706xLC-05C,SOIC-8_3.9x4.9mm_P1.27mm,122.3,-73.3,180.0,bottom
