Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.8,-78.6,90.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.5,-94.0,90.0,top
C4,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.8,-94.2,90.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.4625,-83.9,0.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.6,-75.6,0.0,top
R1,33ohm,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,112.2,-81.2,0.0,top
R2,0.1 OHM 2W,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,113.0,-88.75,90.0,top
R3,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6,-88.0,0.0,top
R4,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6,-89.6,0.0,top
SW1,Test,SW_Push_1P1T_NO_6x6mm_H9.5mm,121.75,-87.375,90.0,bottom
U1,74AHCT1G125,TSOP-5_1.65x3.05mm_P0.95mm,114.1,-78.3,90.0,top
U3,AMS1117-5.0,SOT-223-3_TabPin2,123.15,-95.2,180.0,top
U4,INA219BxD,SOIC-8_3.9x4.9mm_P1.27mm,120.0,-87.5,90.0,top
